ZONE_ID,WAREHOUSE_LOCATION_ID,WHL_PICKUP_ORDERS,ZONE_PICKUP_ORDERS
1,19462,22,30
1,219,5,30
1,214,3,30
13,36612,12,35
13,26054,4,35
13,21518,6,35
13,21499,8,35
13,21483,5,35
14,30466,1,1
18,37747,1,8
18,36630,1,8
18,24785,6,8
32,1637,10,13
32,1636,3,13
33,10753,1,9
33,10752,3,9
33,10751,1,9
33,9846,4,9
38,10750,3,3
43,35577,56,511
43,32459,4,511
43,32182,17,511
43,2434,40,511
43,639,69,511
43,634,66,511
43,633,60,511
43,631,52,511
43,627,63,511
43,621,84,511
49,24977,16,16
50,32460,2,302
50,3091,45,302
50,2930,62,302
50,1237,49,302
50,641,144,302
73,3084,56,333
73,1832,102,333
73,1816,50,333
73,1815,44,333
73,1241,41,333
73,1240,40,333
76,37730,47,594
76,33850,49,594
76,2025,126,594
76,2016,91,594
76,2003,38,594
76,1805,109,594
76,1658,71,594
76,1648,63,594
79,3083,19,174
79,2766,48,174
79,2638,40,174
79,2635,67,174
85,18409,4,10
85,15787,3,10
85,15786,1,10
85,15785,2,10
87,3120,78,203
87,2988,13,203
87,2938,9,203
87,2864,34,203
87,2767,19,203
87,2756,26,203
87,2676,15,203
87,2632,9,203
90,14777,59,101
90,14655,42,101
95,19381,5,5
103,20902,9,41
103,20900,32,41
131,33226,35,407
131,30188,35,407
131,21601,51,407
131,17664,65,407
131,17663,35,407
131,17662,31,407
131,17660,31,407
131,17659,29,407
131,17657,61,407
131,17621,34,407
143,9445,97,97
144,4869,54,236
144,3407,76,236
144,2622,56,236
144,2621,50,236
151,23226,68,189
151,23223,52,189
151,23222,69,189
154,37731,21,584
154,25003,129,584
154,4055,65,584
154,3039,78,584
154,3038,156,584
154,2010,22,584
154,2006,113,584
155,25002,77,610
155,23049,12,610
155,23048,25,610
155,23047,36,610
155,4052,20,610
155,4051,73,610
155,4050,46,610
155,3960,50,610
155,3263,67,610
155,3033,65,610
155,3032,41,610
155,3031,47,610
155,2023,51,610
159,25619,14,501
159,4036,37,501
159,3950,41,501
159,3090,115,501
159,3089,166,501
159,2028,41,501
159,2027,20,501
159,2011,48,501
159,2008,19,501
160,31538,2,16
160,21146,14,16
161,34737,4,7
161,34693,3,7
166,3726,95,432
166,3656,98,432
166,3599,56,432
166,3277,129,432
166,3264,54,432
167,36392,125,590
167,27842,65,590
167,23241,47,590
167,3274,107,590
167,3270,59,590
167,3268,106,590
167,3266,81,590
168,27834,40,208
168,23246,59,208
168,4354,76,208
168,3272,33,208
169,23249,67,464
169,3630,26,464
169,3275,108,464
169,3271,93,464
169,3256,98,464
169,3253,72,464
172,18411,4,12
172,18410,6,12
172,16807,2,12
174,33401,3,40
174,3241,37,40
176,15344,70,135
176,15093,65,135
177,23273,64,232
177,23272,60,232
177,23271,33,232
177,14367,32,232
177,14355,43,232
178,23277,76,253
178,3811,109,253
178,3372,68,253
179,30948,60,208
179,4570,61,208
179,3347,87,208
181,27764,101,433
181,3396,62,433
181,3391,106,433
181,3390,93,433
181,3389,71,433
182,32421,4,535
182,32420,1,535
182,27759,37,535
182,23285,53,535
182,3874,130,535
182,3841,34,535
182,3359,70,535
182,3358,91,535
182,3357,62,535
182,3354,53,535
183,3641,44,511
183,3637,51,511
183,3619,43,511
183,3602,89,511
183,3411,48,511
183,3410,79,511
183,3409,83,511
183,3099,74,511
184,3406,40,126
184,3405,23,126
184,3403,63,126
185,39958,4,149
185,4867,38,149
185,3401,39,149
185,3398,15,149
185,3397,53,149
186,4883,44,199
186,4881,20,199
186,3419,41,199
186,3418,17,199
186,3417,77,199
190,18408,5,12
190,3564,7,12
200,26224,158,328
200,3752,170,328
201,34300,68,354
201,33090,93,354
201,3944,91,354
201,3759,102,354
204,23327,72,278
204,23326,40,278
204,17629,55,278
204,14779,70,278
204,11604,41,278
205,25000,129,754
205,24999,12,754
205,23046,54,754
205,10350,32,754
205,4048,42,754
205,4047,79,754
205,4046,108,754
205,2018,35,754
205,2015,32,754
205,2013,46,754
205,2012,40,754
205,2009,95,754
205,2007,50,754
206,37732,16,452
206,25001,104,452
206,4054,64,452
206,4053,42,452
206,4049,47,452
206,3952,16,452
206,2021,66,452
206,2014,19,452
206,1635,78,452
207,14362,38,38
212,36211,38,375
212,27091,75,375
212,27089,97,375
212,25316,36,375
212,20663,61,375
212,4207,68,375
213,24813,50,140
213,21436,41,140
213,20673,49,140
214,36210,73,254
214,33588,50,254
214,33217,131,254
216,4087,31,31
219,4102,56,227
219,4101,171,227
221,4163,74,74
223,5075,90,490
223,5063,76,490
