Location,Location Name,District Number,Region Number,Terr Num,EFF DT,Current Starting Rate,Staffing Level,Current Staffing Level,YTD Average Staffing Level,Current Staffing Score,YTD Staffing Score,Total Staffing Score,LY Turn %,YTD Turn %,YOY Turn Variance,Turnover Score,Unemployment Score,Kohl's to County Comp Score,County Score,Applicant Flow,Acceptance Rate,Acceptance Rate Score,Applicant Flow Score,Recruiting Score,Cost of Labor Zone,Wage Pressue Score,Wage Score Color,Starting Rate Buckets
7,Macomb,31,11,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.05,0.04,-0.01,3,3,3,3,4.5,,2,2,2,3,2.36,Green,9
8,Oakland,7,11,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.05,0.05,0.00,4,4,4,4,2.98,0.95,1,1,1,3,2.56,Green,9
9,Novi,7,11,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.04,0.06,0.01,4,4,3,3.5,16,0.67,5,1,3.4,3,3.06,Yellow,9
10,Lakeside,31,11,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.09,0.05,-0.04,3,3,2,2.5,4.78,0.74,5,2,3.8,3,2.92,Green,9
11,Westland,7,11,2,4/1/17,9.00,0.99,0.99,0.96,2,2,2,0.04,0.06,0.02,4,2,2,2,2.8,0.8,4,1,2.8,3,2.7,Green,9
14,Woodland,16,11,2,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.07,0.10,0.03,4,5,3,4,2.4,0.89,3,1,2.2,2,3.07,Yellow,9
17,Southland,7,11,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.08,0.14,0.06,4,2,2,2,5.16,0.88,3,3,3,3,2.66,Green,9
18,Grand Rapids North,16,11,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.09,0.07,-0.02,3,5,3,4,2.64,0.75,5,1,3.4,2,2.91,Green,9
19,Bolingbrook,49,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.09,0.07,-0.01,3,3,2,2.5,4.55,0,5,2,3.8,3,2.71,Green,9
25,Grand Junction,25,12,3,4/1/17,9.30,1.00,1.00,0.99,1,2,1.7,0.05,0.09,0.03,4,3,3,3,19,,2,1,1.6,2,2.51,Green,9.38
31,Clarksburg,20,15,4,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.15,0.05,-0.10,3,3,2,2.5,6.64,0.92,2,3,2.4,1,2.36,Green,9
32,Lake Worth,68,4,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.20,0.24,0.05,4,4,5,4.5,9.5,0.82,4,2,3.2,2,3.21,Yellow,9
33,Wilkes Barre,74,15,4,4/1/17,9.00,1.00,1.00,0.95,1,3,2.4,0.13,0.08,-0.05,3,2,2,2,5.5,0.96,1,3,1.8,1,2.32,Green,9
34,Yuma,54,8,3,4/1/17,10.00,1.00,1.00,0.96,1,2,1.7,0.11,0.05,-0.06,3,1,3,2,4.73,0.25,5,2,3.8,1,2.61,Green,10
35,Horseheads,57,3,4,4/1/17,9.70,1.00,1.00,1.00,1,2,1.7,0.06,0.09,0.03,4,2,1,1.5,,,,,,2,2.465,Green,9.63
